SMILES	ID
[NH3+]C1Cc2ccccc2N(Cc2ccc(Cl)c(Cl)c2)C1	RBIF-1683
COc1ccccc1N1CCN(CCC(=O)c2cc(C)sc2C)CC1	RBIF-0838
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC	RBIF-3746
FC(F)(F)c1cc(OCc2ccccc2)ccc1Cl	RBIF-1469
Fc1ccc2c(c1)OCCN(c1ccccc1C(F)(F)F)C2	RBIF-3019
Fc1ccc(C(F)(F)F)c(COc2ccccc2)c1	RBIF-2999
CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12	RBIF-4878
FC(F)(F)c1ccc(OC(CCN2CCN(c3ccc(Cl)cc3)CC2)c2ccccc2)cc1	RBIF-3673
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	RBIF-1785
CC1CN(Cc2ccc(Cl)c(Br)c2)c2ccccc21	RBIF-3083
Fc1ccc(Br)c(CN2CCCc3ccccc32)c1	RBIF-0470
O=C(CCN1CCN(c2ccc(Cl)cc2)CC1)c1csc2ccccc12	RBIF-2764
N#Cc1ccc(F)cc1C[NH+]1CCSCC1c1ccc(C(F)(F)F)cc1	RBIF-2320
Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O	RBIF-0031
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(Cc3ccc(C(F)(F)F)cc3-c3ccc(Cl)cc3)CC2)cc1Oc1cnc2[nH]ccc2c1	RBIF-2483
CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](CN[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O	RBIF-3655
OC(CCN1CCN(c2ccc(Cl)cc2)CC1)c1ccc2ccccc2c1	RBIF-1542
Fc1cccc(OCc2cccc(C(F)(F)F)c2)c1	RBIF-1657
N#Cc1ccc(C[NH+]2CCSCC2c2cccc(C(F)(F)F)c2)c(F)c1	RBIF-1155
CC(Sc1ccccc1)c1cccc(C(F)(F)F)c1	RBIF-0593
N#Cc1cc(F)cc(C[NH+]2CCSCC2c2ccc(C(F)(F)F)cc2)c1	RBIF-1173
CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1	RBIF-4613
FC(F)(F)c1ccccc1COc1cccc(Cl)c1	RBIF-0304
N#Cc1cc(F)cc(C[NH+]2CCSCC2c2cccc(C(F)(F)F)c2)c1	RBIF-1352
Fc1cccc(C(F)(F)F)c1N1CCOc2ccccc2C1	RBIF-1412
[NH3+]C1Cc2ccccc2N(Cc2cc(F)cc(C(F)(F)F)c2)C1	RBIF-1724
CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1	RBIF-1003
FC(F)(F)c1ccc(OCc2ccccc2Cl)cc1	RBIF-2677
FC(F)(F)c1cccc(SCc2ccccc2)c1	RBIF-4003
